id;Date;PAX;Coefficient
1;2021-05-04;189;0.052910053
2;2021-05-03;171;0.064327485
3;2021-05-02;187;0.064171123
4;2021-05-01;184;0.065217391
5;2021-04-30;183;0.054644809
6;2021-04-29;174;0.063218391
7;2021-04-28;171;0.070175439
8;2021-04-27;181;0.060773481
9;2021-04-26;185;0.064864865
10;2021-04-25;170;0.058823529
11;2021-04-24;181;0.060773481
12;2021-04-23;174;0.057471264
13;2021-04-22;186;0.064516129
14;2021-04-21;176;0.056818182
15;2021-04-20;184;0.054347826
16;2021-04-19;188;0.053191489
17;2021-04-18;182;0.06043956
18;2021-04-17;180;0.066666667
19;2021-04-16;174;0.063218391
20;2021-04-15;174;0.057471264
21;2021-04-14;188;0.063829787
22;2021-04-13;170;0.070588235
23;2021-04-12;183;0.06557377
24;2021-04-11;176;0.0625
25;2021-04-10;174;0.063218391
26;2021-04-09;189;0.058201058
27;2021-04-08;178;0.06741573
28;2021-04-07;183;0.054644809
29;2021-04-06;175;0.057142857
30;2021-04-05;176;0.0625
31;2021-04-04;182;0.054945055
32;2021-04-03;178;0.061797753
33;2021-04-02;172;0.058139535
34;2021-04-01;180;0.061111111
35;2021-03-31;171;0.070175439
36;2021-03-30;174;0.057471264
37;2021-03-29;173;0.069364162
38;2021-03-28;174;0.068965517
39;2021-03-27;170;0.070588235
40;2021-03-26;177;0.06779661
41;2021-03-25;170;0.070588235
42;2021-03-24;178;0.056179775
43;2021-03-23;184;0.065217391
44;2021-03-22;187;0.053475936
45;2021-03-21;186;0.053763441
46;2021-03-20;187;0.053475936
47;2021-03-19;175;0.062857143
48;2021-03-18;173;0.069364162
49;2021-03-17;171;0.070175439
50;2021-03-16;172;0.069767442
51;2021-03-15;181;0.055248619
52;2021-03-14;171;0.058479532
53;2021-03-13;176;0.068181818
54;2021-03-12;171;0.070175439
55;2021-03-11;174;0.057471264
56;2021-03-10;171;0.064327485
57;2021-03-09;180;0.066666667
58;2021-03-08;171;0.058479532
59;2021-03-07;176;0.0625
60;2021-03-06;174;0.057471264
61;2021-03-05;188;0.058510638
62;2021-03-04;176;0.056818182
63;2021-03-03;177;0.056497175
64;2021-03-02;170;0.064705882
65;2021-03-01;175;0.062857143
66;2021-02-28;177;0.062146893
67;2021-02-27;185;0.059459459
68;2021-02-26;182;0.06043956
69;2021-02-25;181;0.060773481
70;2021-02-24;177;0.056497175
71;2021-02-23;186;0.053763441
72;2021-02-22;171;0.058479532
73;2021-02-21;179;0.067039106
74;2021-02-20;188;0.058510638
75;2021-02-19;184;0.065217391
76;2021-02-18;175;0.068571429
77;2021-02-17;183;0.06010929
78;2021-02-16;177;0.06779661
79;2021-02-15;181;0.055248619
80;2021-02-14;171;0.064327485
81;2021-02-13;179;0.055865922
82;2021-02-12;182;0.06043956
83;2021-02-11;187;0.058823529
84;2021-02-10;184;0.059782609
85;2021-02-09;179;0.055865922
86;2021-02-08;170;0.070588235
87;2021-02-07;173;0.069364162
88;2021-02-06;186;0.053763441
89;2021-02-05;178;0.061797753
90;2021-02-04;172;0.069767442
91;2021-02-03;176;0.0625
92;2021-02-02;182;0.06043956
93;2021-02-01;185;0.064864865
94;2021-01-31;171;0.064327485
95;2021-01-30;175;0.062857143
96;2021-01-29;185;0.059459459
97;2021-01-28;185;0.059459459
98;2021-01-27;183;0.06010929
99;2021-01-26;174;0.057471264
100;2021-01-25;185;0.054054054
101;2021-01-24;188;0.058510638
102;2021-01-23;188;0.053191489
103;2021-01-22;180;0.055555556
104;2021-01-21;184;0.059782609
105;2021-01-20;174;0.057471264
106;2021-01-19;182;0.054945055
107;2021-01-18;171;0.070175439
108;2021-01-17;179;0.055865922
109;2021-01-16;172;0.063953488
110;2021-01-15;170;0.058823529
111;2021-01-14;170;0.058823529
112;2021-01-13;178;0.06741573
113;2021-01-12;173;0.069364162
114;2021-01-11;182;0.065934066
115;2021-01-10;187;0.058823529
116;2021-01-09;188;0.053191489
117;2021-01-08;178;0.056179775
118;2021-01-07;172;0.063953488
119;2021-01-06;183;0.06010929
120;2021-01-05;176;0.056818182
121;2021-01-04;184;0.054347826
122;2021-01-03;185;0.064864865
123;2021-01-02;180;0.061111111
124;2021-01-01;180;0.055555556
