id;Date;PAX;Coefficient
1;2021-05-04;189;0.08994709
2;2021-05-03;171;0.070175439
3;2021-05-02;187;0.069518717
4;2021-05-01;184;0.070652174
5;2021-04-30;183;0.071038251
6;2021-04-29;174;0.074712644
7;2021-04-28;171;0.070175439
8;2021-04-27;181;0.077348066
9;2021-04-26;185;0.075675676
10;2021-04-25;170;0.070588235
11;2021-04-24;181;0.077348066
12;2021-04-23;174;0.074712644
13;2021-04-22;186;0.069892473
14;2021-04-21;176;0.079545455
15;2021-04-20;184;0.076086957
16;2021-04-19;188;0.069148936
17;2021-04-18;182;0.076923077
18;2021-04-17;180;0.072222222
19;2021-04-16;174;0.074712644
20;2021-04-15;174;0.068965517
21;2021-04-14;188;0.069148936
22;2021-04-13;170;0.070588235
23;2021-04-12;183;0.076502732
24;2021-04-11;176;0.073863636
25;2021-04-10;174;0.068965517
26;2021-04-09;189;0.074074074
27;2021-04-08;178;0.078651685
28;2021-04-07;183;0.076502732
29;2021-04-06;175;0.074285714
30;2021-04-05;176;0.073863636
31;2021-04-04;182;0.076923077
32;2021-04-03;178;0.073033708
33;2021-04-02;172;0.069767442
34;2021-04-01;180;0.077777778
35;2021-03-31;171;0.070175439
36;2021-03-30;174;0.068965517
37;2021-03-29;173;0.069364162
38;2021-03-28;174;0.074712644
39;2021-03-27;170;0.076470588
40;2021-03-26;177;0.073446328
41;2021-03-25;170;0.070588235
42;2021-03-24;178;0.078651685
43;2021-03-23;184;0.070652174
44;2021-03-22;187;0.069518717
45;2021-03-21;186;0.069892473
46;2021-03-20;187;0.069518717
47;2021-03-19;175;0.074285714
48;2021-03-18;173;0.069364162
49;2021-03-17;171;0.070175439
50;2021-03-16;172;0.069767442
51;2021-03-15;181;0.077348066
52;2021-03-14;171;0.076023392
53;2021-03-13;176;0.073863636
54;2021-03-12;171;0.076023392
55;2021-03-11;174;0.068965517
56;2021-03-10;171;0.076023392
57;2021-03-09;180;0.072222222
58;2021-03-08;171;0.076023392
59;2021-03-07;176;0.073863636
60;2021-03-06;174;0.068965517
61;2021-03-05;188;0.069148936
62;2021-03-04;176;0.079545455
63;2021-03-03;177;0.079096045
64;2021-03-02;170;0.070588235
65;2021-03-01;175;0.074285714
66;2021-02-28;177;0.079096045
67;2021-02-27;185;0.075675676
68;2021-02-26;182;0.076923077
69;2021-02-25;181;0.071823204
70;2021-02-24;177;0.079096045
71;2021-02-23;186;0.075268817
72;2021-02-22;171;0.076023392
73;2021-02-21;179;0.078212291
74;2021-02-20;188;0.074468085
75;2021-02-19;184;0.070652174
76;2021-02-18;175;0.074285714
77;2021-02-17;183;0.076502732
78;2021-02-16;177;0.073446328
79;2021-02-15;181;0.077348066
80;2021-02-14;171;0.076023392
81;2021-02-13;179;0.072625698
82;2021-02-12;182;0.076923077
83;2021-02-11;187;0.069518717
84;2021-02-10;184;0.070652174
85;2021-02-09;179;0.078212291
86;2021-02-08;170;0.070588235
87;2021-02-07;173;0.069364162
88;2021-02-06;186;0.075268817
89;2021-02-05;178;0.073033708
90;2021-02-04;172;0.075581395
91;2021-02-03;176;0.073863636
92;2021-02-02;182;0.071428571
93;2021-02-01;185;0.075675676
94;2021-01-31;171;0.070175439
95;2021-01-30;175;0.074285714
96;2021-01-29;185;0.07027027
97;2021-01-28;185;0.07027027
98;2021-01-27;183;0.071038251
99;2021-01-26;174;0.074712644
100;2021-01-25;185;0.075675676
101;2021-01-24;188;0.074468085
102;2021-01-23;188;0.074468085
103;2021-01-22;180;0.077777778
104;2021-01-21;184;0.076086957
105;2021-01-20;174;0.074712644
106;2021-01-19;182;0.076923077
107;2021-01-18;171;0.070175439
108;2021-01-17;179;0.078212291
109;2021-01-16;172;0.075581395
110;2021-01-15;170;0.070588235
111;2021-01-14;170;0.076470588
112;2021-01-13;178;0.078651685
113;2021-01-12;173;0.069364162
114;2021-01-11;182;0.076923077
115;2021-01-10;187;0.07486631
116;2021-01-09;188;0.069148936
117;2021-01-08;178;0.078651685
118;2021-01-07;172;0.069767442
119;2021-01-06;183;0.071038251
120;2021-01-05;176;0.073863636
121;2021-01-04;184;0.076086957
122;2021-01-03;185;0.075675676
123;2021-01-02;180;0.072222222
124;2021-01-01;180;0.072222222
125;2020-12-31;174;0.074712644
126;2020-12-30;180;0.077777778
127;2020-12-29;187;0.07486631
128;2020-12-28;184;0.076086957
129;2020-12-27;188;0.074468085
130;2020-12-26;170;0.076470588
131;2020-12-25;183;0.071038251
132;2020-12-24;185;0.075675676
133;2020-12-23;180;0.072222222
134;2020-12-22;170;0.070588235
135;2020-12-21;184;0.070652174
136;2020-12-20;171;0.070175439
137;2020-12-19;183;0.071038251
138;2020-12-18;173;0.075144509
139;2020-12-17;176;0.073863636
140;2020-12-16;174;0.068965517
141;2020-12-15;186;0.069892473
142;2020-12-14;178;0.073033708
143;2020-12-13;186;0.075268817
144;2020-12-12;171;0.076023392
145;2020-12-11;170;0.070588235
146;2020-12-10;183;0.071038251
147;2020-12-09;182;0.076923077
148;2020-12-08;188;0.069148936
149;2020-12-07;175;0.074285714
150;2020-12-06;173;0.069364162
151;2020-12-05;171;0.076023392
152;2020-12-04;172;0.069767442
153;2020-12-03;177;0.073446328
154;2020-12-02;173;0.069364162
155;2020-12-01;189;0.079365079
156;2020-11-30;188;0.074468085
157;2020-11-29;180;0.072222222
158;2020-11-28;180;0.077777778
159;2020-11-27;180;0.072222222
160;2020-11-26;188;0.074468085
161;2020-11-25;181;0.071823204
162;2020-11-24;182;0.071428571
163;2020-11-23;177;0.079096045
164;2020-11-22;179;0.078212291
165;2020-11-21;189;0.079365079
166;2020-11-20;171;0.070175439
167;2020-11-19;172;0.069767442
168;2020-11-18;188;0.074468085
169;2020-11-17;182;0.071428571
170;2020-11-16;174;0.068965517
171;2020-11-15;174;0.074712644
172;2020-11-14;187;0.069518717
173;2020-11-13;182;0.076923077
174;2020-11-12;171;0.070175439
175;2020-11-11;173;0.075144509
176;2020-11-10;178;0.073033708
177;2020-11-09;174;0.074712644
178;2020-11-08;189;0.079365079
179;2020-11-07;175;0.074285714
180;2020-11-06;183;0.071038251
181;2020-11-05;184;0.076086957
182;2020-11-04;173;0.069364162
183;2020-11-03;188;0.074468085
184;2020-11-02;174;0.074712644
185;2020-11-01;188;0.074468085
186;2020-10-31;188;0.069148936
187;2020-10-30;174;0.074712644
188;2020-10-29;175;0.074285714
189;2020-10-28;170;0.076470588
190;2020-10-27;170;0.076470588
191;2020-10-26;184;0.070652174
192;2020-10-25;179;0.078212291
