id;Date;Coefficient
1;2021-05-04;0.074074074
2;2021-05-03;0.076023392
3;2021-05-02;0.07486631
4;2021-05-01;0.076086957
5;2021-04-30;0.076502732
6;2021-04-29;0.074712644
7;2021-04-28;0.076023392
8;2021-04-27;0.071823204
9;2021-04-26;0.075675676
10;2021-04-25;0.076470588
11;2021-04-24;0.071823204
12;2021-04-23;0.074712644
13;2021-04-22;0.069892473
14;2021-04-21;0.079545455
15;2021-04-20;0.070652174
16;2021-04-19;0.074468085
17;2021-04-18;0.076923077
18;2021-04-17;0.077777778
19;2021-04-16;0.068965517
20;2021-04-15;0.074712644
21;2021-04-14;0.069148936
22;2021-04-13;0.070588235
23;2021-04-12;0.071038251
24;2021-04-11;0.079545455
25;2021-04-10;0.074712644
26;2021-04-09;0.074074074
27;2021-04-08;0.078651685
28;2021-04-07;0.071038251
29;2021-04-06;0.074285714
30;2021-04-05;0.073863636
31;2021-04-04;0.071428571
32;2021-04-03;0.073033708
33;2021-04-02;0.075581395
34;2021-04-01;0.072222222
35;2021-03-31;0.076023392
36;2021-03-30;0.074712644
37;2021-03-29;0.075144509
38;2021-03-28;0.074712644
39;2021-03-27;0.076470588
40;2021-03-26;0.079096045
41;2021-03-25;0.070588235
42;2021-03-24;0.073033708
43;2021-03-23;0.076086957
44;2021-03-22;0.07486631
45;2021-03-21;0.075268817
46;2021-03-20;0.07486631
47;2021-03-19;0.074285714
48;2021-03-18;0.075144509
49;2021-03-17;0.076023392
50;2021-03-16;0.075581395
51;2021-03-15;0.077348066
52;2021-03-14;0.070175439
53;2021-03-13;0.079545455
54;2021-03-12;0.070175439
55;2021-03-11;0.074712644
56;2021-03-10;0.070175439
57;2021-03-09;0.077777778
58;2021-03-08;0.070175439
59;2021-03-07;0.073863636
60;2021-03-06;0.074712644
61;2021-03-05;0.074468085
62;2021-03-04;0.079545455
63;2021-03-03;0.079096045
64;2021-03-02;0.076470588
65;2021-03-01;0.074285714
66;2021-02-28;0.079096045
67;2021-02-27;0.075675676
68;2021-02-26;0.076923077
69;2021-02-25;0.071823204
70;2021-02-24;0.079096045
71;2021-02-23;0.075268817
72;2021-02-22;0.070175439
73;2021-02-21;0.078212291
74;2021-02-20;0.074468085
75;2021-02-19;0.076086957
76;2021-02-18;0.074285714
77;2021-02-17;0.076502732
78;2021-02-16;0.073446328
79;2021-02-15;0.071823204
80;2021-02-14;0.070175439
81;2021-02-13;0.078212291
82;2021-02-12;0.071428571
